Gamma,Depth
99.6,5005.26
101.1,5005.31
102.6,5005.36
102.0,5005.41
102.6,5005.46
102.5,5005.51
103.7,5005.56
105.3,5005.61
105.8,5005.66
107.2,5005.71
107.6,5005.76
108.7,5005.81
112.0,5005.86
114.8,5005.91
116.3,5005.96
116.7,5006.01
116.6,5006.06
116.2,5006.11
116.3,5006.16
114.6,5006.21
110.8,5006.26
106.3,5006.31
102.4,5006.36
100.2,5006.41
97.5,5006.46
91.8,5006.51
86.3,5006.56
79.3,5006.61
72.2,5006.66
64.5,5006.71
58.2,5006.76
51.1,5006.81
44.3,5006.86
39.7,5006.91
34.6,5006.96
30.2,5007.01
26.4,5007.06
21.6,5007.11
18.3,5007.16
16.8,5007.21
16.0,5007.26
15.0,5007.31
14.4,5007.36
13.7,5007.41
14.1,5007.46
16.2,5007.51
16.6,5007.56
18.2,5007.61
18.3,5007.66
18.0,5007.71
18.2,5007.76
19.5,5007.81
19.7,5007.86
20.8,5007.91
24.8,5007.96
29.9,5008.01
35.0,5008.06
36.5,5008.11
36.8,5008.16
37.3,5008.21
37.8,5008.26
40.2,5008.31
42.2,5008.36
42.5,5008.41
43.9,5008.46
44.1,5008.51
43.5,5008.56
40.8,5008.61
36.8,5008.66
33.5,5008.71
33.8,5008.76
35.3,5008.81
37.0,5008.86
40.1,5008.91
40.0,5008.96
39.8,5009.01
41.1,5009.06
40.1,5009.11
39.1,5009.16
37.9,5009.21
38.4,5009.26
39.7,5009.31
39.2,5009.36
39.2,5009.41
37.5,5009.46
36.4,5009.51
33.3,5009.56
32.4,5009.61
31.9,5009.66
30.8,5009.71
29.8,5009.76
30.1,5009.81
31.5,5009.86
30.6,5009.91
29.4,5009.96
30.8,5010.01
31.3,5010.06
33.4,5010.11
33.9,5010.16
33.2,5010.21
33.1,5010.26
32.1,5010.31
32.8,5010.36
33.2,5010.41
34.9,5010.46
36.4,5010.51
37.1,5010.56
36.7,5010.61
35.0,5010.66
32.7,5010.71
29.1,5010.76
27.7,5010.81
29.1,5010.86
28.7,5010.91
29.1,5010.96
28.4,5011.01
28.0,5011.06
25.1,5011.11
22.9,5011.16
21.4,5011.21
21.7,5011.26
21.5,5011.31
22.3,5011.36
21.8,5011.41
21.8,5011.46
21.4,5011.51
21.4,5011.56
21.2,5011.61
20.6,5011.66
20.4,5011.71
21.3,5011.76
21.2,5011.81
21.3,5011.86
20.3,5011.91
19.3,5011.96
18.6,5012.01
18.6,5012.06
18.8,5012.11
18.0,5012.16
17.4,5012.21
16.8,5012.26
15.8,5012.31
14.3,5012.36
13.1,5012.41
12.6,5012.46
11.5,5012.51
11.3,5012.56
11.8,5012.61
9.4,5012.66
8.4,5012.71
7.5,5012.76
7.4,5012.81
7.6,5012.86
6.3,5012.91
7.9,5012.96
8.0,5013.01
8.8,5013.06
8.7,5013.11
9.4,5013.16
9.1,5013.21
9.6,5013.26
11.1,5013.31
11.9,5013.36
12.9,5013.41
12.2,5013.46
11.2,5013.51
12.1,5013.56
11.1,5013.61
12.4,5013.66
11.3,5013.71
11.1,5013.76
11.0,5013.81
10.7,5013.86
9.8,5013.91
8.9,5013.96
9.1,5014.01
9.0,5014.06
9.4,5014.11
9.7,5014.16
10.8,5014.21
11.4,5014.26
11.1,5014.31
11.8,5014.36
11.1,5014.41
12.7,5014.46
14.0,5014.51
15.5,5014.56
16.4,5014.61
16.0,5014.66
15.8,5014.71
16.2,5014.76
16.7,5014.81
15.9,5014.86
14.6,5014.91
13.4,5014.96
12.9,5015.01
12.9,5015.06
11.1,5015.11
10.8,5015.16
9.2,5015.21
9.0,5015.26
8.7,5015.31
7.9,5015.36
7.5,5015.41
7.7,5015.46
7.1,5015.51
7.6,5015.56
8.9,5015.61
11.1,5015.66
12.6,5015.71
13.5,5015.76
14.2,5015.81
14.9,5015.86
15.2,5015.91
16.2,5015.96
17.0,5016.01
16.5,5016.06
16.2,5016.11
15.8,5016.16
16.4,5016.21
16.5,5016.26
14.7,5016.31
14.3,5016.36
14.4,5016.41
11.9,5016.48
13.5,5016.53
13.4,5016.58
14.1,5016.63
12.8,5016.68
12.4,5016.73
11.5,5016.78
9.8,5016.83
10.9,5016.88
10.6,5016.93
12.9,5016.98
13.9,5017.03
14.3,5017.08
14.3,5017.13
13.4,5017.18
13.2,5017.23
12.6,5017.28
13.4,5017.33
13.6,5017.38
14.6,5017.43
15.4,5017.48
16.3,5017.53
15.9,5017.58
14.2,5017.63
13.8,5017.68
13.2,5017.73
14.7,5017.78
14.8,5017.83
15.1,5017.88
14.7,5017.93
15.6,5017.98
15.9,5018.03
16.6,5018.08
15.6,5018.13
14.1,5018.18
15.2,5018.23
14.1,5018.28
13.0,5018.33
13.3,5018.38
12.9,5018.43
12.9,5018.43
13.2,5018.48
13.5,5018.53
13.4,5018.58
11.9,5018.63
12.8,5018.68
11.8,5018.73
12.8,5018.78
12.6,5018.83
12.1,5018.88
13.5,5018.93
13.8,5018.98
14.0,5019.03
12.8,5019.08
14.8,5019.13
14.7,5019.18
17.2,5019.23
18.3,5019.28
17.7,5019.33
18.8,5019.38
18.7,5019.43
19.7,5019.48
19.3,5019.53
19.3,5019.58
19.9,5019.63
21.0,5019.68
22.7,5019.73
20.3,5019.78
20.5,5019.83
18.5,5019.88
17.6,5019.93
17.4,5019.98
17.6,5020.03
18.4,5020.08
18.4,5020.13
20.0,5020.18
19.4,5020.23
19.5,5020.28
18.0,5020.33
16.9,5020.38
16.5,5020.43
16.2,5020.48
16.1,5020.53
16.8,5020.58
15.5,5020.63
15.3,5020.68
14.1,5020.73
13.7,5020.78
12.5,5020.83
12.1,5020.88
11.8,5020.93
12.1,5020.98
12.4,5021.03
12.2,5021.08
13.1,5021.13
12.6,5021.18
12.4,5021.23
12.2,5021.28
11.1,5021.33
12.5,5021.38
12.5,5021.43
11.3,5021.48
12.7,5021.53
13.4,5021.58
13.2,5021.63
13.4,5021.68
12.9,5021.73
12.3,5021.78
13.1,5021.83
13.5,5021.88
14.1,5021.93
14.2,5021.98
12.2,5022.03
10.9,5022.08
12.9,5022.13
14.4,5022.18
13.7,5022.23
14.1,5022.28
13.7,5022.33
13.6,5022.38
13.6,5022.43
14.2,5022.48
14.6,5022.53
15.3,5022.58
15.0,5022.63
14.6,5022.68
16.4,5022.73
16.2,5022.78
14.2,5022.83
14.2,5022.88
15.2,5022.93
15.8,5022.98
19.0,5023.03
19.9,5023.08
19.7,5023.13
20.6,5023.18
21.1,5023.23
23.4,5023.28
27.2,5023.33
30.2,5023.38
32.5,5023.43
34.9,5023.48
36.5,5023.53
37.7,5023.58
40.6,5023.63
42.2,5023.68
45.2,5023.73
49.4,5023.78
54.9,5023.83
63.0,5023.88
71.3,5023.93
76.5,5023.98
77.7,5024.03
78.5,5024.08
81.0,5024.13
84.6,5024.18
87.4,5024.23
88.9,5024.28
89.5,5024.33
89.8,5024.38
89.4,5024.43
86.1,5024.48
80.4,5024.53
73.1,5024.58
67.1,5024.63
63.4,5024.68
61.0,5024.73
57.5,5024.78
53.3,5024.83
49.3,5024.88
46.4,5024.93
44.3,5024.98
43.4,5025.03
42.6,5025.08
41.0,5025.13
39.4,5025.18
38.5,5025.23
38.7,5025.28
39.7,5025.33
40.3,5025.38
41.5,5025.43
90.3,5025.46
92.0,5025.51
92.9,5025.56
92.4,5025.61
91.6,5025.66
90.8,5025.71
87.9,5025.76
89.0,5025.81
87.4,5025.86
83.9,5025.91
81.3,5025.96
80.5,5026.01
78.8,5026.06
79.1,5026.11
78.1,5026.16
79.4,5026.21
81.4,5026.26
86.6,5026.31
91.2,5026.36
96.3,5026.41
99.6,5026.46
102.0,5026.51
102.4,5026.56
102.2,5026.61
99.9,5026.66
98.1,5026.71
95.6,5026.76
93.9,5026.81
89.7,5026.86
85.3,5026.91
77.6,5026.96
71.3,5027.01
66.8,5027.06
64.9,5027.11
64.6,5027.16
64.4,5027.21
64.4,5027.26
67.7,5027.31
70.5,5027.36
73.3,5027.41
73.3,5027.41
76.3,5027.46
79.5,5027.51
81.9,5027.56
84.6,5027.61
85.6,5027.66
84.4,5027.71
82.3,5027.76
76.8,5027.81
73.0,5027.86
68.7,5027.91
61.2,5027.96
53.9,5028.01
46.3,5028.06
39.0,5028.11
31.8,5028.16
27.3,5028.21
21.7,5028.26
16.3,5028.31
14.7,5028.36
11.0,5028.41
12.0,5028.46
11.9,5028.51
12.0,5028.56
13.1,5028.61
13.8,5028.66
14.3,5028.71
14.8,5028.76
15.4,5028.81
14.1,5028.86
13.5,5028.91
14.2,5028.96
13.0,5029.01
15.0,5029.06
15.3,5029.11
15.8,5029.16
15.4,5029.21
16.1,5029.26
15.9,5029.31
15.9,5029.36
15.6,5029.41
15.5,5029.46
15.4,5029.51
14.8,5029.56
14.5,5029.61
13.6,5029.66
13.1,5029.71
13.2,5029.76
13.5,5029.81
12.8,5029.86
11.3,5029.91
10.8,5029.96
10.4,5030.01
10.1,5030.06
10.8,5030.11
11.0,5030.16
12.5,5030.21
13.5,5030.26
14.7,5030.31
15.7,5030.36
15.7,5030.41
16.3,5030.46
17.0,5030.51
16.9,5030.56
17.3,5030.61
17.9,5030.66
17.9,5030.71
17.5,5030.76
17.9,5030.81
17.2,5030.86
16.2,5030.91
16.7,5030.96
16.3,5031.01
16.4,5031.06
15.0,5031.11
16.4,5031.16
16.8,5031.21
16.8,5031.26
17.2,5031.31
17.2,5031.36
17.3,5031.41
16.7,5031.46
18.2,5031.51
19.1,5031.56
19.2,5031.61
20.8,5031.66
21.8,5031.71
24.1,5031.76
25.2,5031.81
25.9,5031.86
25.7,5031.91
25.2,5031.96
25.2,5032.01
24.9,5032.06
25.5,5032.11
24.8,5032.16
25.5,5032.21
25.1,5032.26
24.3,5032.31
23.5,5032.36
21.8,5032.41
19.6,5032.46
18.7,5032.51
18.3,5032.56
19.3,5032.61
21.9,5032.66
22.1,5032.71
21.7,5032.76
22.6,5032.81
22.0,5032.86
21.8,5032.91
20.7,5032.96
20.6,5033.01
20.3,5033.06
20.6,5033.11
20.9,5033.16
21.7,5033.21
21.2,5033.26
19.8,5033.31
19.6,5033.36
18.8,5033.41
18.0,5033.46
18.0,5033.51
18.5,5033.56
19.5,5033.61
19.9,5033.66
19.9,5033.71
20.4,5033.76
20.8,5033.81
20.6,5033.86
20.3,5033.91
19.8,5033.96
19.4,5034.01
19.9,5034.06
19.1,5034.11
18.9,5034.16
19.5,5034.21
19.0,5034.26
18.3,5034.31
18.3,5034.36
17.5,5034.41
17.6,5034.46
17.3,5034.51
16.3,5034.56
15.5,5034.61
15.6,5034.66
15.5,5034.71
16.5,5034.76
16.8,5034.81
15.4,5034.86
16.2,5034.91
16.4,5034.96
16.2,5035.01
16.9,5035.06
15.7,5035.11
15.8,5035.16
16.6,5035.21
17.0,5035.26
17.0,5035.31
17.5,5035.36
16.1,5035.41
16.0,5035.46
16.4,5035.51
15.6,5035.56
15.3,5035.61
15.4,5035.66
16.8,5035.71
19.1,5035.76
23.6,5035.81
31.3,5035.86
38.4,5035.91
45.8,5035.96
53.3,5036.01
62.0,5036.06
69.9,5036.11
78.5,5036.16
88.9,5036.21
96.7,5036.26
102.1,5036.31
103.7,5036.36
103.9,5036.41
100.2,5036.46
92.4,5036.51
84.4,5036.56
77.0,5036.61
69.4,5036.66
61.2,5036.71
53.3,5036.76
44.1,5036.81
33.4,5036.86
24.8,5036.91
19.6,5036.96
15.6,5037.01
13.4,5037.06
12.6,5037.11
13.1,5037.16
14.2,5037.21
14.1,5037.26
13.6,5037.31
12.8,5037.36
12.6,5037.41
14.7,5037.46
17.0,5037.51
21.4,5037.56
30.1,5037.61
40.3,5037.66
49.6,5037.71
53.3,5037.76
52.9,5037.81
52.8,5037.86
54.7,5037.91
55.7,5037.96
58.5,5038.01
58.2,5038.06
55.8,5038.11
53.4,5038.16
49.0,5038.21
39.9,5038.26
31.1,5038.31
21.9,5038.36
17.0,5038.41
16.0,5038.46
14.8,5038.51
12.4,5038.56
11.4,5038.61
7.9,5038.66
7.5,5038.71
6.6,5038.76
7.4,5038.81
8.1,5038.86
6.5,5038.91
5.9,5038.96
6.3,5039.01
7.1,5039.06
8.3,5039.11
10.0,5039.16
11.3,5039.21
12.6,5039.26
14.5,5039.31
14.0,5039.36
16.9,5039.41
16.3,5039.46
14.4,5039.51
16.4,5039.56
15.5,5039.61
14.7,5039.66
14.7,5039.71
13.5,5039.76
13.4,5039.81
12.1,5039.86
11.4,5039.91
11.0,5039.96
11.4,5040.01
8.8,5040.06
7.7,5040.11
8.0,5040.16
7.6,5040.21
8.3,5040.26
8.6,5040.31
9.1,5040.36
9.4,5040.41
8.6,5040.46
8.1,5040.51
8.5,5040.56
8.8,5040.61
8.3,5040.66
8.0,5040.71
8.5,5040.76
9.5,5040.81
9.4,5040.86
8.4,5040.91
8.4,5040.96
8.7,5041.01
9.3,5041.06
11.4,5041.11
12.6,5041.16
13.0,5041.21
13.2,5041.26
14.2,5041.31
14.5,5041.36
13.2,5041.41
12.7,5041.46
12.5,5041.51
13.1,5041.56
13.6,5041.61
12.4,5041.66
10.9,5041.71
8.9,5041.76
7.7,5041.81
7.1,5041.86
6.8,5041.91
6.4,5041.96
7.4,5042.01
9.3,5042.06
10.2,5042.11
10.6,5042.16
10.8,5042.21
10.4,5042.26
9.9,5042.31
10.4,5042.36
10.0,5042.41
10.6,5042.46
10.2,5042.51
10.3,5042.56
11.0,5042.61
10.6,5042.66
10.5,5042.71
11.2,5042.76
10.9,5042.81
11.1,5042.86
10.9,5042.91
12.6,5042.96
13.1,5043.01
13.4,5043.06
13.3,5043.11
14.0,5043.16
14.1,5043.21
12.4,5043.26
12.5,5043.31
11.4,5043.36
9.8,5043.41
10.5,5043.46
10.5,5043.51
10.5,5043.56
9.2,5043.61
9.1,5043.66
9.7,5043.71
10.3,5043.76
9.0,5043.81
8.8,5043.86
9.7,5043.91
8.7,5043.96
8.5,5044.01
9.6,5044.06
9.1,5044.11
9.3,5044.16
9.3,5044.21
9.8,5044.26
9.4,5044.31
8.8,5044.36
8.0,5044.41
8.1,5044.46