Depth,Kinf,Kair,Porosity,Gdensity
4970.86,0.078,0.154,3.3,2.732
4971.24,0.003,0.011,2.9,2.721
4971.55,0.318,0.399,3.5,2.723
4971.85,0.036,0.082,2.5,2.713
4972.33,0.003,0.010,4.1,2.721
4972.67,0.037,0.085,2.6,2.742
4973.20,0.383,0.418,3.6,2.743
4973.55,0.009,0.027,2.9,2.761
4973.92,2.63,2.86,3.0,2.705
4974.25,0.013,0.036,2.9,2.705
4974.57, -, -, -, -
4974.86,0.053,0.091,3.0,2.716
4975.20, -, -, -,2.762
4975.50,0.261,0.281,3.0,2.807
4975.78,0.078,0.107,2.4,2.754
4978.16,0.062,0.102,5.9,2.752
4978.46,0.155,0.242,7.7,2.661
4978.83,0.146,0.218,6.8,2.670
4979.15,0.149,0.222,7.4,2.658
4979.43,0.169,0.230,6.5,2.680
4979.63,0.166,0.236,6.0,2.678
4980.02,682,747,13.3,2.654
4980.30,1190,1210,13.2,2.650
4980.60,1290,1310,14.0,2.651
4980.87,1360,1380,14.2,2.640
4981.30,2550,2580,15.0,2.656
4981.60,1460,1480,13.7,2.652
4981.90,2160,2180,15.0,2.654
4982.30,1560,1580,14.5,2.643
4982.60,1320,1340,13.0,2.639
4982.82,750,751,12.0,2.689
4983.15,1740,1760,13.8,2.643
4983.50,912,925,12.0,2.653
4983.86,94.7,97.1,8.3,2.650
4984.14,1320,1330,13.6,2.647
4984.49,1260,1270,13.0,2.640
4984.84,1240,1260,13.2,2.641
4985.14,393,399,10.4,2.654
4985.50,864,877,12.1,2.663
4985.84,28.0,28.9,9.2,2.639
4986.14,195,201,12.7,2.664
4986.50,195,201,13.3,2.660
4986.83,301,303,13.4,2.649
4987.17,91.4,97.6,10.5,2.727
4987.24,213,214,11.2,2.639
4987.48,54.9,58.9,10.7,2.638
4987.84,52.4,53.8,9.8,2.635
4987.89,122,131,11.5,2.635
4988.12,245,257,12.8,2.669
4988.50,128,143,12.4,2.639
4988.79,57.6,61.1,11.5,2.638
4989.16,244,257,10.7,2.638
4989.30,142,145,10.3,2.649
4993.16,52.6,57.4,10.3,2.688
4993.50,27.4,32.6,9.1,2.655
4993.85,17.2,19.1,9.3,2.639
4994.16,27.0,29.9,8.5,2.637
4994.53,0.278,0.379,2.4,2.633
4994.84,82.6,86.1,12.1,2.639
4995.14,1610,1630,14.3,2.641
4995.50,1830,1850,14.2,2.640
4995.85,1910,1950,14.8,2.641
4996.16,1530,1550,15.3,2.641
4996.45,1900,1910,15.8,2.641
4996.69,1580,1600,15.2,2.640
4996.94,803,841,13.0,2.644
4997.24,257,276,11.1,2.642
4997.50,670,677,12.8,2.638
4997.84,264,271,12.7,2.640
4998.28,333,342,11.8,2.643
4998.59,185,199,10.8,2.644
4998.76, -, -, -, -
4998.90,345,364,11.2,2.668
4999.23, -, -, -,2.644
4999.50,6.05,6.87,6.2,2.641
4999.85, -, -, -, -
5000.13, -, -, -, -
5000.18,44.2,54.6,9.7,2.641
5000.56,22.2,23.4,10.0,2.653
5000.80,97.8,102,12.1,2.655
5001.15,204,206,13.5,2.653
5001.50,137,138,12.1,2.650
5001.84,120,125,12.3,2.645
5002.17,21.2,22.6,9.8,2.640
5002.51,151,154,11.3,2.640
5002.81,185,186,11.7,2.640
5003.20,252,253,12.8,2.641
5003.53,587,598,13.2,2.640
5003.87,667,678,13.3,2.642
5004.15,460,461,12.6,2.644
5004.50,150,154,11.5,2.640
5004.82,0.258,0.335,5.6,2.655
5006.58,0.052,0.088,4.0,2.639
5006.84,0.154,0.196,3.9,2.639
5007.13,4.96,6.23,7.3,2.677
5007.31, -, -, -,2.644
5007.51,14.0,19.4,5.7,2.641
5007.81,9.41,14.7,6.3,2.699
5008.25, -, -, -,2.506
5008.44,77.4,109,7.7,2.663
5009.17,0.748,1.08,6.7,2.664
5012.56,4.47,5.04,9.1,2.639
5012.87,9.01,9.71,8.6,2.640
5013.15,24.6,25.4,8.3,2.640
5013.37,1.58,1.90,6.9,2.638
5013.91,5.82,6.44,7.7,2.639
5014.16,6.97,7.52,7.6,2.640
5014.37,0.267,0.399,5.4,2.656
5015.19,23.9,25.0,9.7,2.636
5015.54,24.9,25.8,8.8,2.640
5015.96,17.1,18.2,9.1,2.637
5016.14,2.82,3.25,7.7,2.648
5016.38,147,152,10.7,2.637
5016.95,271,275,12.4,2.638
5017.13,276,281,12.3,2.638
5017.54,141,142,11.0,2.640
5017.85,238,245,11.7,2.640
5018.14,143,144,11.5,2.638
5018.47,100,103,11.2,2.641
5018.89,38.9,40.0,9.5,2.639
5019.18,30.2,31.5,8.8,2.640
5019.44,0.873,1.09,5.0,2.649
5019.82,34.6,39.9,6.8,2.639
5020.11,98.0,131,5.7,2.638
5020.44,0.136,0.210,6.2,2.637
5020.70,5.27,5.82,7.0,2.639
5020.96,4.53,5.11,4.9,2.638
5021.29,76.9,81.1,9.2,2.637
5021.59,464,471,10.9,2.636
5021.89,642,685,11.4,2.637
5022.19,470,517,11.8,2.634
5022.49,430,469,10.9,2.641
5022.79,153,172,9.6,2.637
5023.10,2.81,3.43,6.8,2.640
5023.41,8.73,9.69,6.3,2.645
5023.70,0.439,0.602,6.7,2.648
5023.90,0.346,0.526,7.0,2.642
5024.30,0.095,0.150,5.5,2.656
5024.60,0.107,0.175,6.9,2.641
5024.91,0.439,0.604,7.4,2.654
5025.20,0.412,0.575,7.1,2.653
5025.44,0.073,0.124,6.0,2.740
5025.73,3.69,3.85,3.3,2.741
5025.98,0.093,0.142,3.3,2.700
5026.21,0.058,0.092,3.1,2.681
5026.51,0.022,0.044,3.4,2.730
5026.83,0.030,0.055,5.2,2.660
5027.11,0.037,0.069,5.2,2.660
5027.43,0.157,0.208,4.8,2.752
5027.67,0.042,0.078,3.9,2.668
5028.10,24.9,31.3,7.9,2.675
5028.31,7.49,8.52,10.3,2.645
5028.59,5.95,6.91,9.8,2.647
5028.89,0.539,0.735,7.9,2.637
5029.20,8.62,9.52,10.4,2.642
5029.51,12.9,15.3,10.2,2.649
5030.11,65.5,68.5,12.2,2.641
5030.41,2.03,2.47,8.9,2.659
5030.66,6.18,6.84,9.6,2.646
5030.97,39.0,40.9,11.8,2.640
5031.30,49.7,52.0,12.6,2.874
5031.59,25.8,27.5,12.1,2.641
5031.89,10.1,11.1,10.6,2.741
5032.20,3.73,4.38,10.3,2.643
5032.50,3.38,4.02,10.3,2.650
5032.80,4.41,5.08,9.3,2.638
5033.10,1.25,1.58,9.3,2.642
5033.41,2.64,3.13,9.0,2.641
5033.71,1.35,1.76,9.1,2.640
5034.07, -, -, -,2.706
5034.30,37.5,59.4,7.7,2.646
5034.59,1.42,1.66,5.5,2.641
5034.89,19.4,21.7,5.8,2.640
5035.21,2.08,2.54,9.0,2.641
5035.52,0.539,0.756,7.5,2.650
5035.82,2.24,2.71,9.4,2.654
5036.10,0.313,0.440,7.7,2.640
5036.47,0.208,0.312,1.8,2.672
5036.72,4.57,5.45,7.8,2.638
5036.97,5.73,6.79,5.9,2.640
5037.25,3.45,4.13,7.2,2.640
5037.60,16.9,18.8,8.6,2.636
5037.91,0.245,0.274,2.7,3.295
5038.20,1.03,1.27,5.1,2.649
5038.50,15.9,17.2,7.2,2.643
5038.81,98.9,105,8.8,2.637
5039.10,3.19,3.68,6.0,2.665
5039.37,5.91,6.59,4.2,2.639
5039.70,5.46,6.22,5.3,2.639
5039.89,0.729,0.961,5.2,2.643
5040.30,0.041,0.071,4.1,2.637
5040.60,3.72,4.13,5.9,2.643
5040.90,3.71,4.22,6.4,2.639
5041.20,2.22,2.65,6.4,2.640
5041.50,23.8,24.60,5.2,2.632
5041.81,4.05,4.52,6.2,2.661
5042.11,1.12,1.40,4.3,2.677
5042.41,0.125,0.192,4.0,2.717
5042.71,25.7,27.0,7.6,2.639
5042.97,0.162,0.244,4.5,2.673
5043.32,2.11,2.20,3.6,2.674